kind	id	title	year	titleYear	status	matchedKey	candidateKeys
movie	ftp_23	Send Help (2026)	2026	2026	MISS		movie:Send Help:2026 | movie:Send Help (2026):2026 | movie:ftp_23:2026 | movie:Send Help: | movie:Send Help (2026):
movie	ftp_24	Shelter (2026)	2026	2026	MISS		movie:Shelter:2026 | movie:Shelter (2026):2026 | movie:ftp_24:2026 | movie:Shelter: | movie:Shelter (2026):
movie	ftp_25	The Bluff (2026)	2026	2026	MISS		movie:The Bluff:2026 | movie:The Bluff (2026):2026 | movie:ftp_25:2026 | movie:The Bluff: | movie:The Bluff (2026):
movie	ftp_26	The Rip (2026)	2026	2026	MISS		movie:The Rip:2026 | movie:The Rip (2026):2026 | movie:ftp_26:2026 | movie:The Rip: | movie:The Rip (2026):
movie	ftp_27	The Strangers-Chapter 3 (2026)	2026	2026	MISS		movie:The Strangers-Chapter 3:2026 | movie:The Strangers-Chapter 3 (2026):2026 | movie:ftp_27:2026 | movie:The Strangers-Chapter 3: | movie:The Strangers-Chapter 3 (2026):
movie	ftp_28	The Wrecking Crew (2026)	2026	2026	HIT_EXACT	movie:The Wrecking Crew:2026	movie:The Wrecking Crew:2026 | movie:The Wrecking Crew (2026):2026 | movie:ftp_28:2026 | movie:The Wrecking Crew: | movie:The Wrecking Crew (2026):
movie	ftp_29	War Machine (2026)	2026	2026	MISS		movie:War Machine:2026 | movie:War Machine (2026):2026 | movie:ftp_29:2026 | movie:War Machine: | movie:War Machine (2026):
movie	ftp_30	Wuthering Heights (2026)	2026	2026	MISS		movie:Wuthering Heights:2026 | movie:Wuthering Heights (2026):2026 | movie:ftp_30:2026 | movie:Wuthering Heights: | movie:Wuthering Heights (2026):
movie	ftp_31	Hum (2020)	2026	2020	MISS		movie:Hum:2020 | movie:Hum:2026 | movie:Hum (2020):2020 | movie:Hum (2020):2026 | movie:ftp_31:2020 | movie:ftp_31:2026 | movie:Hum: | movie:Hum (2020):
movie	ftp_32	Karma (2018)	2018	2018	MISS		movie:Karma:2018 | movie:Karma (2018):2018 | movie:ftp_32:2018 | movie:Karma: | movie:Karma (2018):
movie	ftp_33	Mard (1985)	2026	1985	MISS		movie:Mard:1985 | movie:Mard:2026 | movie:Mard (1985):1985 | movie:Mard (1985):2026 | movie:ftp_33:1985 | movie:ftp_33:2026 | movie:Mard: | movie:Mard (1985):
movie	ftp_34	Good Luck (2008)	2026	2008	MISS		movie:Good Luck:2008 | movie:Good Luck:2026 | movie:Good Luck (2008):2008 | movie:Good Luck (2008):2026 | movie:ftp_34:2008 | movie:ftp_34:2026 | movie:Good Luck: | movie:Good Luck (2008):
movie	ftp_35	Mithya (2008)	2026	2008	MISS		movie:Mithya:2008 | movie:Mithya:2026 | movie:Mithya (2008):2008 | movie:Mithya (2008):2026 | movie:ftp_35:2008 | movie:ftp_35:2026 | movie:Mithya: | movie:Mithya (2008):
movie	ftp_36	Raftaar (2009)	2026	2009	MISS		movie:Raftaar:2009 | movie:Raftaar:2026 | movie:Raftaar (2009):2009 | movie:Raftaar (2009):2026 | movie:ftp_36:2009 | movie:ftp_36:2026 | movie:Raftaar: | movie:Raftaar (2009):
movie	ftp_37	Ek Din	2026		MISS		movie:Ek Din:2026 | movie:ftp_37:2026 | movie:Ek Din:
